hist_text_classic,true_label,predicted_label,result,n_words
"Jonathan Crane is a deranged, criminally insane teenage psychopath and anarchist. He is the son of the late Gerald and Karen Crane. As a child, his mother died in a house fire, causing his father to try to stop fear until his inevitable death. Not long before this, his father injected his son with the serum he made, which overloaded Jonathan's fear response causing his mind to create a boogeyman of what he feared the most, a scarecrow, driving him insane. He would later be transferred to Gotham Asylum for his condition, until Merton and his gang bribed the warden into releasing him so they could make Jonathan recreate his father's serum and pose as a threat to Oswald Cobblepot. However, the gang locked him in a closet with a scarecrow much to his dismay and horror until he became one with his fear, wearing the scarecrow as a costume and abandoning his birth-given name in favor of The Scarecrow. After spraying a member of the gang with fear toxin, he would return to the old asylum seeking revenge on the warden and attempting to ""free"" his fellow inmates until Jim Gordon would arrive and discover the serum's weakness, water. Crane would eventually be captured again and sent to Arkham Asylum however, he would soon escape with his new allies Jerome Valeska and Jervis Tetch. This alliance later evolved into the Legion of Horribles, reinforced with Oswald Cobblepot, Mr. Freeze, Firefly and Solomon Grundy, which operated with the goal to drive Gotham City into madness according to a plan by Jerome, while the other members were promised to rule the city after its downfall. On Jerome's request, Crane therefore developed the dangerous Laughing Toxin. The Legion was ultimately dissolved after their leader Jerome Valeska died once again, whereupon Scarecrow allied with Jerome's brother Jeremiah Valeska, assisting him in driving Bruce Wayne mad, while Crane also fought Selina Kyle in order to prevent her from ruining Jeremiah's plan. During the No Man's Land event, Crane claimed his own territory and established a gang.",DC Comics,DC Comics,Correct,342
"Ulysses Klaw was a physicist working in the field of applied sonics at the Technical University at Delft, who had designed a sound transducer able to convert sound waves into physical mass. The theoretical element necessary to make his device work was Vibranium, a substance known to exist only in certain meteoric deposits in the small African nation of Wakanda. Desperate for a sample, Klaw organized a team of mercenaries to help him seize the element from the African tribe who guarded it, the Wakandans. When T'Chaka, the leader of the Wakandan cult of the Black Panther, refused to yield any of the metal from the sacred mound, Klaw ordered his men to kill him. Witnessing his father's death, T'Chaka's adolescent son T'Challa seized Klaw's sonic blaster weapon and aimed it at the marauders, shattering Klaw's right hand with one burst and scattering his troops with a second.  Driven away, Klaw vowed to return and wreak vengeance. When he reached civilization, Klaw had his mangled hand amputated and fitted with a claw-like prosthetic device into which he built a sonic-force blaster. Ten years later, he mounted a second attack on the Wakandans. He was opposed by the Fantastic Four and T'Challa, now the Black Panther, who had succeeded his father as ruler. Thwarted again, Klaw leaped into his massive sonic converter device (the Vibranium for which he had acquired criminally on the open market), hoping to gain superhuman powers to combat his foes. His gamble was successful and Klaw was transformed into a creature whose body was composed of ""living sound"". In his new form, Klaw battled the Fantastic Four and was pummeled into unconsciousness by Mister Fantastic wearing Vibranium knuckle guards and taken to prison.   Klaw was soon freed by the Crimson Cowl, an alias of Ultron, and invited to join the second Masters of Evil. The Masters of Evil managed to capture the Avengers, but they later escaped. Klaw was subdued by a kick from his old foe, the Black Panther. Too powerful to be imprisoned by conventional means, Klaw escaped and freed some of his cronies from the Masters of Evil. A second foray against the Avengers was less successful than the first and Klaw was again subdued. Managing to escape custody again, Klaw journey back to Wakanda where he helped steal a device capable of augmenting the metal-disintegrating property of a Vibranium-alloy. Encountering the Thing, the Human Torch, and the Black Panther, Klaw was defeated when the Thing crushed his prosthetic hand.  After rebuilding the device, Klaw joined forces with the murderous Solarr and trapped the Avengers within a solid sound barrier.",Marvel Comics,Marvel Comics,Correct,436
"Pythia, blaming Theseus and all men for her mother's death, was their first leader (see also Circe). The city is attacked by Hermes, who has learned of the rogue Amazons and is madder than hell. He has come for the Golden Girdle. Diana manages to convince him to cease his attack. One of the Amazons, Faruka, decides to use all the chaos to try and seaize power, using a (cyborg?) Amazon called Shim'tar. With Hermes weakened by Gaea's status, Diana fights Shim'tar alone, battling to a standstill. The Egyptian govenment, outraged at the massacre at one of their villages, orders an air strike on the hidden city. Not even Hermes is able to intervene. The entire city is destroyed, leaving Wonder Woman, Minerva, and Hermes alone in the desert. Wonder Woman has recovered both her lasso and the Golden Girdle. After a brief stop back in Boston, Diana returns the Girdle to her mother on Themyscira.     The time has come for Themyscara to welcome the world more openly. Twelve delegates are chosen: Asmund Lindel, the Norway delegate to the U.N.; Maritza Nitumbe, a South African botanist; Phyllis Haller, an American feminist bestselling author and sociologist; Vladimir Morakov, a Russian neurosurgeon; Robert Cantwell, Scottish history teacher and war veteran; Rabbi Benjamin Hecht and Unitarian minister Reverand Alan Withersppon, the only two religious leaders to respond to Diana's invitation (the Vatican was silent); Lin Koo Teng, a survivor of Tienamen Square; Rovo Quashi, a blind man from Ethiopia; Henri Tibet, a parapelegic architecht from Canada; Felix Zumac, a Haithian zoologist and anthropologist; and Lois Lane, everybody's favorite reporter from the Daily Planet. Hermes, shedding his immortality, grants Diana the ability to use her winged sandals to take the delegates to Themyscara. The delegates all arrive to a magnificent greeting by the Amazons. No one suspects that Eris, daugther of Ares, is plotting discord. She nearly succeeds in turning everyone against one another when her plans are discovered and thwarted. Afterwards, the delegates all deliver their favorable report to the U.N. while the Amazons comence the cleanup. Julia is on a dig overseas and Vanessa is at summer camp. Hermes, shorn of some of his divinity, has been staying with Steve Trevor.     Wonder Woman had her second run in with the Silver Swan, now more powerful than ever, when Valerie was attempting to escape from her ""benefactors."" Wonder Woman and Etta Candy were captured by Hank Armbruster's thugs, but working together they were able to break free. Usng her Lasso on Armbruster, Diana was able to unveil the depth of his lies to Valerie. The Swan walked away, no longer the villain.",DC Comics,DC Comics,Correct,439
"While in space, the team was attacked by Korvus, a Shi'ar warrior sent to kill Rachel. Korvus's ancestor Rook'shir was a previous host of the Phoenix Force, and a small portion of the Phoenix's power was left behind in his sword, the Blade of the Phoenix. With this power, Korvus made short work of the other XMen, but when Rachel blocked the sword their minds were involuntarily linked and Rachel learned that Korvus's family was also murdered by the Shi'ar government because of their connection to the Phoenix. Part of the Phoenix power from the sword was transferred to Rachel. Rachel claimed that rather than having taken the power, the power chose to go to her. When this happened, Rachel's normally gold energy aura turned blue, the same color as the Blade of the Phoenix. She then telekinetically disabled an explosive implant that the Shi'ar chancellor K'tor was using to force Korvus's obedience.  Due to her connecting with the sword, Rachel also connected to Korvus and the two began to share memories. Rachel discovers the Phoenix Force formerly in the blade is just an echo of the Force. This blue shadow of the Phoenix soon began influencing Rachel's behavior, causing her to design a darker new uniform and begin a romance with Korvus. Not long after these events, Vulcan took the life of his father Christopher Summers, both Rachel and Korvus joined the Starjammers, to stop the evil Vulcan.",Marvel Comics,Marvel Comics,Correct,239
"Desiring the Skull's Cosmic Cube for himself, former Soviet general Aleksander Lukin hired Rogers' former WWII sidekick, Bucky (now known as the Winter Soldier) to assassinate the Skull. When the Skull was shot, he attempted to use the Cube to switch bodies with Lukin to survive, but the cube was weak. The transfer was only partially successful as the Skull only managed to transfer his mind into Lukin's body; now the minds of the two enemies were trapped together in the same body. The Skull/Lukin formed numerous alliances with other villains, including Doctor Faustus, Doctor Doom, Arnim Zola and the Serpent Squad. The Skull used hypnotist Dr. Faustus to help arrange Captain America's assassination. Under Faustus' influence, former S.H.I.E.L.D. agent and Cap's occasional girlfriend Sharon Carter was brainwashed into killing Captain America herself. Freed from his ever-present nemesis, the Red Skull/Lukin raised a private army while attempting to arrange for Senator Gordon Wright to become president of the USA. The Winter Soldier became the new Captain America and overcame their plans. Arnim Zola transferred the Red Skull's mind out of Lukin's body and into one of his own spare android forms as a temporary measure. Shortly afterward, Lukin was killed by Sharon Carter and Zola was seemingly destroyed. The Red Skull remains trapped in Zola's spare body.",Marvel Comics,Marvel Comics,Correct,217
"Max saved Magda from the gas chambers and then from execution; as the members of the Sonderkommando revolted, the two of them escaped together. For several years, Max and Magda lived in a Carpathian Mountain village, and eventually they were married. They had a daughter, Anya.   Max, at this point, sought out a forger, named Georg Odekirk, who was supposed to be among the best, and asked him to create a new identity for him. Odekirk used the identity of the deceased ""Erik Lehnsherr, the Sinte gypsy"", so Max could live more easily amongst Magda's own people. Max added ""Magnus"" as his middle name and, although many knew of his history as a Jewish prisoner, no one knew of his life as Max Eisenhardt. Not satisfied with the simple life of a mountain village, Erik moved his family to the, then, Soviet city of Vinnitsa, so he could better himself. On their very first day in the city, Magnus consciously used his powers for the first time. Erik magnetically hurled a crowbar at his boss who was cheating him of his pay. When he returned to the inn where he, Magda, and Anya were staying, Erik saw it was on fire and his daughter Anya was trapped on the upper floors. He tried to use his new-found powers to save his daughter, but his boss had called the KGB and they beat up Magnus and held him down, preventing him from rescuing Anya. The child fell, burning to her death, in front of her father. Magnus then used his powers to destroy the men holding him, the crowd watching, and a large section of the city of Vinnitsa in revenge. Terrified by her husband's powers and overwhelmed by the tragedy, Magda fled, as her husband called out to her to help him bury their child. Magda never revealed to Erik that she was pregnant. At some unspecified time later, soon after giving birth to the twins, Wanda and Pietro, under the care of Bova on Wundagore Mountain, Magda wandered out into the snow, never to be seen again; presumably dying. As Magnus attempted to bury his daughter, more soldiers arrived after hearing what he had done and attacked him. After being shot in the head, Magnus forced the soldiers to turn their own guns on themselves.   Eventually Magnus traveled to Haifa, Israel, possibly under the guise ""Erik Magnus"". Magnus worked there as a volunteer orderly at a psychiatric hospital for Holocaust victims. It was there Erik first met and became friends with Charles Xavier.",Marvel Comics,Marvel Comics,Correct,424
"Their investigation triggered a defense system of genetically engineered crustaceans, and they were saved by the Robot, who managed to thaw Namora from her icy coffin. (As a surface dweller/Atlantean hybrid, Namora's body had overcome the poison and only needed to be revived. Grateful, Namora pledged her loyalty to their cause, and they eventually uncovered the truth of the Foundation, which was led by Woo's archenemy, the Yellow Claw. The Yellow Claw ceded control of the Foundation to Jimmy, who professed his determination to use such resources for the betterment of the world. He, Namora, and the other Agents of Atlas would become a clandestine force for good.",Marvel Comics,Marvel Comics,Correct,108
"Montoya was a longstanding detective on the GCPD before being selected by The Question (Vic Sage) to pass on guidance. After his death, Montoya took up the ""Question"" identity to become his successor.",DC Comics,DC Comics,Correct,33
"During a battle with Blacklash during a storm, the armor became sentient. This would be later revealed due to the Ultron Imperative. Iron Man (Sentient Armor) decided it would replace Stark, but ultimately sacrificed itself to repair damage to its creator's heart.  Stark posed as simple worker 'Hogan Potts' at Askew Electronics, incorporating a new alloy called SKIN into his armor designs. After tests against the Shocker, he went into battle against AIM, the Ghost, and finally Ultron after the villain revealed his manipulation of the Sons of Yinsen, his role in the sentient armor, and corrupting the SKIN technology.  Stark investigated an early military armor that had been distributed to rebel forces around the world.  Temugin also made his presence felt, challenging Iron Man for the apparent death of his father, the Mandarin.  A strange alien bio-plasm was investigated in Las Vegas.  Stark infiltrated the Thunderbolts posing as the Cobalt Man.   The US military attempted to claim older model Iron Man armors. Their pretense was that Stark had not patented the technology and that he violated agreements made after the Armor Wars by continuing to adventure as Iron Man.  At the same time, a new Secretary of Defense was needed. Stark vied for the position and halted a disaster involving the technology as Iron Man.  Stark (later revealed to be manipulated by the Scarlet Witch) suddenly threatened a Latverian ambassador at a UN meeting. Clarence Ward used a stolen armor to kill nearly all of Stark Industries' board and Rumiko Fujikawa. In light of the incidents, Stark resigned as secretary.  Stark returned to work at a hectic pace, often sleeping in his lab. A former classmate asked for help--a super soldier project named Extremis had been given to a small terrorist group. Iron Man battled the augmented terrorist Mallen, but suffered massive injuries. Taking Extremis, Iron Man healed and found himself able to directly interface with technology, especially the armor. Going after Mallen again, Stark was forced to kill him.  Stark found he was becoming more and more aggressive battling the Crimson Dynamo and assisting the Avengers against Graviton. He also began building a group of drones nicknamed the Argonauts. 'Iron Man' was spotted attacking several officials, including those involved in his and Ho Yinsen's imprisonment. Stark agreed to go under watch, but armored up and escaped. He confronted Extremis' creator, only to learn the enhancement was not part of it. An outside force was controlling him. The Sentry was sent to apprehend Iron Man, only to find a remote unit and stopped via Tony's manipulation of CLOC.  Stark tracked down the sender at a press conference, finding Ho Yinsen's son.",Marvel Comics,Marvel Comics,Correct,442
"Coming from an affluent family and the son of a Calcuttan police chief, Indian national Neal Shaara has not been a follower of Charles Xavier's philosophies for long, but appears to be one of their most dedicated supporters, nonetheless.  It began when his journalist brother, Sanjit, disappeared. Sharra took it upon himself to find him. When the investigation turned deadly, Sharra was saved by his father's best detective, Karima Shapandar, who was ordered to shadow him. The two continued the investigation together and developed a romantic relationship.  They were eventually captured by the mutant-hunter Bastion, who had previously captured Sanjit. Bastion planned to turn his victims into cybernetic/nanotech Prime Sentinels in order to serve as moles for his mutant-hunting cause. The shock of the procedure activated Sharra's latent mutant powers, and he attempted to free himself and his friends. Sanjit, who had already been transformed into a Prime Sentinel, fought his programming long enough to disable the other Sentinels, but was fatally wounded in the attempt. Karima told Sharra to leave her, as it was too late to save her and could not hold off her transformation for long.  Sharra, unsure of himself and his powers, contacted Moira MacTaggert, an old friend of his family's, and soon found himself on her Muir Island mutant research facility. There, he met and was invited to join the XMen, whereupon he took the code-name Thunderbird. Soon after, however, he split with the team to join several of their number in searching the world for the lost diaries of the late mutant seer, Destiny. During his adventures with the team, he developed a romantic relationship with his teammate Psylocke before her death.  Later, Sharra began to develop a relationship with his teammate Lifeguard. During one adventure, Lifeguard discovered that she may be, in part, alien in origin. This fact upset her brother, Slipstream, who ran away. Sharra and Lifeguard left the XMen to search for her brother and for the truth of her background.  Shaara was a member of the X-Corporation stationed in Mumbai before its closure.",Marvel Comics,Marvel Comics,Correct,343
