start,index,end
Affiliation Darkstars,·,formerly the Green
known as,"Starkağr,",he is known
death of,Starkağr).,During World War
his daughter,Tefé,from Hell. It
,Dr.MargaretAlexandra“Peggy”,Carter was born
was considered,“Virginia,royalty”. Growing up
considered “Virginia,royalty”.,Growing up alongside
Cell Six.,Nord’s,brother Andreas fought
Central Intelligence,Agency’s,Weapon X Program.
joined the,Program’s,covert operations unit
Japanese crimelord,Matsu’o,Tsurayaba and his
Red captured,Maverick’s,former Team X
several of,Wolverine’s,teammates in the
to Omega,Red’s,location. With Maverick’s
of the,X-Men’s,"telepathic founder, Professor"
colleague of,Xavier’s,"father, Doctor Alexander"
for his,wife’s,betrayal. Pushkin intended
that threatened,Pushkin’s,financial interests. Maverick
Maverick located,Barrington’s,safehouse but was
attack New,York’s,Grand Central Station.
"X facility,",Zero’s,investigations led him
opposing the,Project’s,"original founder, John"
explorer-ship the,"“Way-Opener”,",who’s mission was
"the “Way-Opener”,",who’s,mission was to
for their,son’s,"results, but they"
rival his,own…and,to eliminate them
position of,“7th,Smartest Man in
in the,World”,"(Pythagoras, by his"
men attack,Amadeus’,"house, and in"
escaped Chicago's,Cabrini–Green,housing projects with
own former,protégé,Darren Cross replicated
"Cross, and",Lang’s,successful escape from
what the,Anti-Monitor�s,"plan was, he"
manipulating The,Monitor�s,"confidante, Harbinger, to"
by both,Earths�,heroes and villains.
anti-matter universes.,Earth�s,heroes and villains
"time, the",world�s,"greatest sorcerers, except"
Earth-Two knocked,Earth-One�s,Superman and Lady
beam from,Alex�s,eyes. He was
become his,protégés.,Although Garth declined
would become,Arácnido,was the son
fellow wrestler,Escorpión,not helping despite
Dr. Bolivar,Trask’s,"Sentinels, Mimic, Count"
them to,"N’Astirh,",who teleported with
blaming his,wing’s,“lust for blood”.
his wing’s,“lust,for blood”. When
“lust for,blood”.,When Beast and
Mutantes Sans,"Frontières,",a global outreach
Room with,Wing’s,seemingly reanimated corpse.
a bribe,–,if the price
"woman, the",fiancé,"of Thea Queen,"
also the,ex-fiancée,of Kendra Saunders
ones and,—,hopefully - drive
convent in,Sainte-Anne-de-Beaupré,which helped her
Batman. And,that’s,how his story
walls of,Peña,"Duro, an infamous"
"In fact,",Zemo’s,ultimate plan involved
stabilize the,world’s,status quo. The
Zemo blocked,Moonstone’s,blast of energy
moved to,Blüdhaven,with Tim Drake
bat-themed gadgets,—,including a Batmobile
restore the,Beyonder�s,essence to Kosmos
"slaughtering 64,000",Shi�ar,"colonists, she was"
by her,"fiancé,",the new Crime
time in,Peña,"Duro, where Bird"
the Black,Apostles’,posing as Black
the dictators,—,all except his
new name,—,"""Black Adam"" —"
interfere in,China’s,"affairs, even on"
magic users,–,she has demonstrated
silence her,canary’s,cry.
despite her,mother’s,wishes to the
"Silver Age,",Dinah’s,‘Canary Cry’ was
"Age, Dinah’s",‘Canary,Cry’ was the
Dinah’s ‘Canary,Cry’,was the result
her life,—,"Oliver ""Ollie"" Queen"
Arrow. Black,Canary’s,membership in the
of old,clichés,into his work.
of New,York’s,"Maggia families. However,"
to make,Blackwing’s,robberies go off
foiling the,Circus’,"plans, and Blackwing"
retreated to,HYDRA’s,secret base. When
"Later, when",Silvermane’s,mansion was taken
with Jack,O’Lantern,to stake it
to Jack,O’Lantern’s,hallucinogenic gas. The
join the,Skull’s,Crew. Blackwing served
the Crimson,Cowl’s,"Masters of Evil,"
joining the,team’s,attempt to extort
extort the,world’s,governments with the
to strengthen,Gill’s,loyalty to him
curtailed Tony,Stark’s,efforts to lend
elicit Iron,Man’s,help in taking
replica of,Shapanka’s,final Blizzard suit.
invade Agent,X’s,"headquarters, but they"
Blizzard joined,Zemo’s,team in confronting
Thunderbolts under,Songbird’s,field leadership and
the nickname,“the,Blob.” Detecting Dukes’s
nickname “the,Blob.”,Detecting Dukes’s mutant
Blob.” Detecting,Dukes’s,"mutant status, Charles"
