hist_text_classic,true_label,predicted_label,result,n_words
"jonathan crane derange , criminally insane teenage psychopath anarchist . son late gerald karen crane . child , mother die house fire , cause father try stop fear inevitable death . long , father inject son serum , overload jonathan fear response cause mind create boogeyman fear , scarecrow , drive insane . later transfer gotham asylum condition , merton gang bribe warden release jonathan recreate father serum pose threat oswald cobblepot . , gang lock closet scarecrow dismay horror fear , wear scarecrow costume abandon birth - give favor scarecrow . spray member gang fear toxin , return old asylum seek revenge warden attempt "" free "" fellow inmate jim gordon arrive discover serum weakness , water . crane eventually capture send arkham asylum , soon escape new ally jerome valeska jervis tetch . alliance later evolve legion horrible , reinforce oswald cobblepot , mr . freeze , firefly solomon grundy , operate goal drive gotham city madness accord plan jerome , member promise rule city downfall . jerome request , crane develop dangerous laugh toxin . legion ultimately dissolve leader jerome valeska die , scarecrow ally jerome brother jeremiah valeska , assist drive bruce wayne mad , crane fight selina kyle order prevent ruin jeremiah plan . man land event , crane claim territory establish gang .",DC Comics,DC Comics,Correct,219
"ulysse klaw physicist work field apply sonic technical university delft , design sound transducer able convert sound wave physical mass . theoretical element necessary device work vibranium , substance know exist certain meteoric deposit small african nation wakanda . desperate sample , klaw organize team mercenary help seize element african tribe guard , wakandan . t'chaka , leader wakandan cult black panther , refuse yield metal sacred mound , klaw order man kill . witness father death , t'chaka adolescent son t'challa seize klaw sonic blaster weapon aim marauder , shatter klaw right hand burst scatter troop second .   drive away , klaw vow return wreak vengeance . reach civilization , klaw mangle hand amputate fit claw - like prosthetic device build sonic - force blaster . year later , mount second attack wakandan . oppose fantastic t'challa , black panther , succeed father ruler . thwart , klaw leap massive sonic converter device ( vibranium acquire criminally open market ) , hope gain superhuman power combat foe . gamble successful klaw transform creature body compose "" living sound "" . new form , klaw battle fantastic pummel unconsciousness mister fantastic wear vibranium knuckle guard take prison .    klaw soon free crimson cowl , alias ultron , invite join second master evil . master evil manage capture avenger , later escape . klaw subdue kick old foe , black panther . powerful imprison conventional mean , klaw escape free crony master evil . second foray avenger successful klaw subdue . manage escape custody , klaw journey wakanda help steal device capable augment metal - disintegrate property vibranium - alloy . encounter thing , human torch , black panther , klaw defeat thing crush prosthetic hand .   rebuild device , klaw join force murderous solarr trap avenger solid sound barrier .",Marvel Comics,Marvel Comics,Correct,300
"pythia , blame theseus man mother death , leader ( circe ) . city attack herme , learn rogue amazon madder hell . come golden girdle . diana manage convince cease attack . amazon , faruka , decide use chaos try seaize power , ( cyborg ? ) amazon call shim'tar . hermes weaken gaea status , diana fight shim'tar , battle standstill . egyptian govenment , outrage massacre village , order air strike hidden city . herme able intervene . entire city destroy , leave wonder woman , minerva , herme desert . wonder woman recover lasso golden girdle . brief stop boston , diana return girdle mother themyscira .      time come themyscara welcome world openly . delegate choose : asmund lindel , norway delegate u.n . ; maritza nitumbe , south african botanist ; phyllis haller , american feminist bestselle author sociologist ; vladimir morakov , russian neurosurgeon ; robert cantwell , scottish history teacher war veteran ; rabbi benjamin hecht unitarian minister reverand alan withersppon , religious leader respond diana invitation ( vatican silent ) ; lin koo teng , survivor tienaman square ; rovo quashi , blind man ethiopia ; henri tibet , parapelegic architecht canada ; felix zumac , haithian zoologist anthropologist ; lois lane , everybody favorite reporter daily planet . hermes , shed immortality , grant diana ability use wing sandal delegate themyscara . delegate arrive magnificent greeting amazon . suspect eris , daugther are , plot discord . nearly succeed turn plan discover thwart . , delegate deliver favorable report u.n . amazon comence cleanup . julia dig overseas vanessa summer camp . herme , shorn divinity , stay steve trevor .      wonder woman second run silver swan , powerful , valerie attempt escape "" benefactor . "" wonder woman etta candy capture hank armbruster thug , work able break free . usng lasso armbruster , diana able unveil depth lie valerie . swan walk away , long villain .",DC Comics,DC Comics,Correct,328
"space , team attack korvus , shi'ar warrior send kill rachel . korvus ancestor rook'shir previous host phoenix force , small portion phoenix power leave sword , blade phoenix . power , korvus short work xman , rachel block sword mind involuntarily link rachel learn korvus family murder shi'ar government connection phoenix . phoenix power sword transfer rachel . rachel claim having take power , power choose . happen , rachel normally gold energy aura turn blue , color blade phoenix . telekinetically disable explosive implant shi'ar chancellor k'tor force korvus obedience .   connect sword , rachel connect korvus begin share memory . rachel discover phoenix force blade echo force . blue shadow phoenix soon begin influence rachel behavior , cause design dark new uniform begin romance korvus . long event , vulcan take life father christopher summer , rachel korvus join starjammer , stop evil vulcan .",Marvel Comics,Marvel Comics,Correct,148
"desire skull cosmic cube , soviet general aleksander lukin hire roger ' wwii sidekick , bucky ( know winter soldier ) assassinate skull . skull shoot , attempt use cube switch body lukin survive , cube weak . transfer partially successful skull manage transfer mind lukin body ; mind enemy trap body . skull / lukin form numerous alliance villain , include doctor faustus , doctor doom , arnim zola serpent squad . skull hypnotist dr . faustus help arrange captain america assassination . faustus ' influence , s.h.i.e.l.d . agent cap occasional girlfriend sharon carter brainwash kill captain america . free - present nemesis , red skull / lukin raise private army attempt arrange senator gordon wright president usa . winter soldier new captain america overcome plan . arnim zola transfer red skull mind lukin body spare android form temporary measure . shortly afterward , lukin kill sharon carter zola seemingly destroy . red skull remain trap zola spare body .",Marvel Comics,Marvel Comics,Correct,162
"max save magda gas chamber execution ; member sonderkommando revolt , escape . year , max magda live carpathian mountain village , eventually marry . daughter , anya .    max , point , seek forger , name georg odekirk , suppose good , ask create new identity . odekirk identity deceased "" erik lehnsherr , sinte gypsy "" , max live easily magda people . max add "" magnus "" middle , know history jewish prisoner , know life max eisenhardt . satisfied simple life mountain village , erik move family , , soviet city vinnitsa , better . day city , magnus consciously power time . erik magnetically hurl crowbar boss cheat pay . return inn , magda , anya stay , erik see fire daughter anya trap upper floor . try use new - find power save daughter , boss call kgb beat magnus hold , prevent rescue anya . child fall , burn death , father . magnus power destroy man hold , crowd watch , large section city vinnitsa revenge . terrify husband power overwhelm tragedy , magda flee , husband call help bury child . magda reveal erik pregnant . unspecified time later , soon give birth twin , wanda pietro , care bova wundagore mountain , magda wander snow , see ; presumably die . magnus attempt bury daughter , soldier arrive hear attack . shoot head , magnus force soldier turn gun .    eventually magnus travel haifa , israel , possibly guise "" erik magnus "" . magnus work volunteer orderly psychiatric hospital holocaust victim . erik meet friend charles xavier .",Marvel Comics,Marvel Comics,Correct,269
"investigation trigger defense system genetically engineer crustacean , save robot , manage thaw namora icy coffin . ( surface dweller / atlantean hybrid , namora body overcome poison need revive . grateful , namora pledge loyalty cause , eventually uncover truth foundation , lead woo archenemy , yellow claw . yellow claw cede control foundation jimmy , profess determination use resource betterment world . , namora , agent atlas clandestine force good .",Marvel Comics,Marvel Comics,Correct,73
"montoya longstanding detective gcpd select question ( vic sage ) pass guidance . death , montoya take "" question "" identity successor .",DC Comics,Marvel Comics,Incorrect,23
"battle blacklash storm , armor sentient . later reveal ultron imperative . iron man ( sentient armor ) decide replace stark , ultimately sacrifice repair damage creator heart .   stark pose simple worker ' hogan pott ' askew electronic , incorporate new alloy call skin armor design . test shocker , go battle aim , ghost , finally ultron villain reveal manipulation son yinsen , role sentient armor , corrupt skin technology .   stark investigate early military armor distribute rebel force world .   temugin presence feel , challenge iron man apparent death father , mandarin .   strange alien bio - plasm investigate las vegas .   stark infiltrate thunderbolt pose cobalt man .    military attempt claim old model iron man armor . pretense stark patent technology violate agreement armor war continue adventure iron man .   time , new secretary defense need . stark vie position halt disaster involve technology iron man .   stark ( later reveal manipulate scarlet witch ) suddenly threaten latverian ambassador un meeting . clarence ward steal armor kill nearly stark industry ' board rumiko fujikawa . light incident , stark resign secretary .   stark return work hectic pace , sleep lab . classmate ask help -- super soldier project name extremis give small terrorist group . iron man battle augmented terrorist mallen , suffer massive injury . take extremis , iron man heal find able directly interface technology , especially armor . go mallen , stark force kill .   stark find aggressive battle crimson dynamo assist avenger graviton . begin build group drone nickname argonaut . ' iron man ' spot attack official , include involve ho yinsen imprisonment . stark agree watch , armor escape . confront extremis ' creator , learn enhancement . outside force control . sentry send apprehend iron man , find remote unit stop tony manipulation cloc .   stark track sender press conference , find ho yinsen son .",Marvel Comics,Marvel Comics,Correct,317
"come affluent family son calcuttan police chief , indian national neal shaara follower charles xavier philosophy long , appear dedicated supporter , nonetheless .   begin journalist brother , sanjit , disappear . sharra take find . investigation turn deadly , sharra save father good detective , karima shapandar , order shadow . continue investigation develop romantic relationship .   eventually capture mutant - hunter bastion , previously capture sanjit . bastion plan turn victim cybernetic / nanotech prime sentinel order serve mole mutant - hunt cause . shock procedure activate sharra latent mutant power , attempt free friend . sanjit , transform prime sentinel , fight programming long disable sentinel , fatally wound attempt . karima tell sharra leave , late save hold transformation long .   sharra , unsure power , contact moira mactaggert , old friend family , soon find muir island mutant research facility . , meet invite join xmen , take code - thunderbird . soon , , split team join number search world lose diary late mutant seer , destiny . adventure team , develop romantic relationship teammate psylocke death .   later , sharra begin develop relationship teammate lifeguard . adventure , lifeguard discover , , alien origin . fact upset brother , slipstream , run away . sharra lifeguard leave xman search brother truth background .   shaara member x - corporation station mumbai closure .",Marvel Comics,Marvel Comics,Correct,229
